Ref,Val,Package,PosX,PosY,Rot,Side
"C57","22n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.777000,-63.191300,90.000000,top
"C58","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.204000,-57.810400,180.000000,top
"C59","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.204000,-59.842400,180.000000,top
"C60","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",121.691400,-72.440800,90.000000,top
"C61","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",123.418600,-68.910200,0.000000,top
"C62","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",124.358400,-72.669400,-90.000000,top
"C63","220u","CP_Radial_D6.3mm_P2.50mm",130.389621,-64.084200,0.000000,top
"C64","220u","CP_Radial_D6.3mm_P2.50mm",129.221221,-47.523400,0.000000,top
"D1","LED_ACTIVE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.722800,-52.349400,0.000000,top
"D4","B130-13-F","D_SMA",64.846200,-29.946600,-90.000000,top
"D5","LED_HS","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.031600,-44.602400,0.000000,top
"D6","LED_HS","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.031600,-46.609000,180.000000,top
"D7","1N4148W","D_SOD-123",152.222200,-78.028800,90.000000,top
"D9","RB751V40T1G","D_SOD-323_HandSoldering",132.867400,-92.202000,0.000000,top
"D10","RB751V40T1G","D_SOD-323_HandSoldering",133.731000,-95.377000,-90.000000,top
"D12","1882.2781","LED_MENTOR_1882",150.710200,-106.450700,0.000000,top
"D15","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.999800,-70.510400,-90.000000,top
"D16","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.266000,-70.434200,-90.000000,top
"D17","RB751V40T1G","D_SOD-323_HandSoldering",118.211600,-70.891400,180.000000,top
"D18","RB751V40T1G","D_SOD-323_HandSoldering",118.211600,-72.898000,180.000000,top
"D19","RB751V40T1G","D_SOD-323_HandSoldering",118.211600,-74.904600,180.000000,top
"D20","RB751V40T1G","D_SOD-323_HandSoldering",118.211600,-76.936600,180.000000,top
"J1","Barrel_Jack","BarrelJack_GCT_DCJ200-10-A_Horizontal",71.770000,-39.293800,180.000000,top
"J2","miniUSB","USB_B_Lumberg_2411_02_Horizontal",55.417400,-40.848900,90.000000,top
"J3","15EDGRC-3.5-03P-14","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",156.210000,-78.006092,90.000000,top
"J4","DB9_Female","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm",109.728000,-33.528000,180.000000,top
"J5","EEP_EN","PinHeader_2x02_P2.54mm_Vertical",85.217000,-50.876200,180.000000,top
"J6","Mini-DIN-6","Mini-DIN_Female_TM0508A",139.649200,-34.188400,180.000000,top
"J7","EDAC 690-008-221-904","USB_A_Wuerth_61400826021_Horizontal_Stacked",53.396000,-99.901600,0.000000,top
"J8","DB9_Male","DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm",156.972000,-57.848602,90.000000,top
"J9","Conn_Coaxial","rca_cliff_F68371",133.350000,-109.220000,0.000000,top
"J10","Conn_Coaxial","rca_cliff_F68371",119.380000,-109.220000,0.000000,top
"J11","ACJS-MHDRM","Jack_6.35mm_ACJS-MHDRM",88.900000,-96.520000,-90.000000,top
"J12","ACJS-MHDRM","Jack_6.35mm_ACJS-MHDRM",109.220000,-96.520000,-90.000000,top
"L1","1u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.768200,-54.381400,180.000000,top
"L2","4u7","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",157.048200,-94.310200,0.000000,top
"L3","4u7","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",150.571200,-101.193600,90.000000,top
"L4","1u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.644200,-79.445122,180.000000,top
"L5","4u7","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",110.439200,-39.878000,-90.000000,top
"L6","1u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.188700,-84.880722,180.000000,top
"Q1","BC846C","SOT-23",47.167800,-44.069000,0.000000,top
"Q2","BC846C","SOT-23",162.737800,-109.880400,0.000000,top
"Q3","BC846C","SOT-23",162.814000,-113.385600,0.000000,top
"Q4","BC846C","SOT-23",133.477000,-69.494400,90.000000,top
"Q5","BC856","SOT-23",124.714000,-86.410800,0.000000,top
"R1","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",45.745400,-48.260000,0.000000,top
"R2","620","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",74.650600,-49.530000,90.000000,top
"R3","620","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.891400,-45.567600,90.000000,top
"R4","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.471800,-50.215800,180.000000,top
"R5","620","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.181000,-54.152800,0.000000,top
"R6","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.573400,-54.305200,180.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.446400,-47.980600,180.000000,top
"R8","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.421000,-44.907200,180.000000,top
"R9","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.183600,-90.551000,-90.000000,top
"R10","12k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.003200,-61.010800,0.000000,top
"R13","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",52.146200,-51.155600,-90.000000,top
"R14","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.165000,-51.155600,90.000000,top
"R15","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.457600,-47.345600,-90.000000,top
"R16","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.145200,-44.145200,90.000000,top
"R17","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",46.583600,-37.719000,0.000000,top
"R18","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",87.833200,-44.526200,90.000000,top
"R19","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.980000,-44.221400,180.000000,top
"R20","0R68","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.978600,-91.541600,0.000000,top
"R21","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.638800,-99.999800,0.000000,top
"R22","33","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",58.877200,-64.338200,-90.000000,top
"R23","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.380400,-102.362000,90.000000,top
"R24","33","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",60.401200,-64.338200,-90.000000,top
"R25","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.089400,-95.453200,-90.000000,top
"R26","33","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",55.194200,-62.407800,-135.000000,top
"R27","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.010400,-79.552800,90.000000,top
"R28","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.934200,-87.376000,90.000000,top
"R29","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.626600,-99.720400,0.000000,top
"R30","33","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",56.261000,-63.474600,-135.000000,top
"R31","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.817600,-101.981000,90.000000,top
"R32","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.066000,-95.275400,0.000000,top
"R33","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.167600,-93.370400,0.000000,top
"R34","R_Small","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.995600,-105.054400,0.000000,top
"R35","620","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.177000,-104.063800,180.000000,top
"R36","620","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",156.108400,-113.665000,90.000000,top
"R37","620","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",158.623000,-112.522000,0.000000,top
"R38","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.024600,-90.500200,-90.000000,top
