Ref,Val,Package,PosX,PosY,Rot,Side
"R11","22","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-56.794400,-54.660800,-135.000000,bottom
"R12","22","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-57.861200,-55.727600,-135.000000,bottom
"R56","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-159.537400,-72.745600,90.000000,bottom
